|wrapperType|kind|artistId|collectionId|trackId|artistName|collectionName|trackName|collectionCensoredName|trackCensoredName|artistViewUrl|collectionViewUrl|trackViewUrl|previewUrl|artworkUrl30|artworkUrl60|artworkUrl100|collectionPrice|trackPrice|releaseDate|collectionExplicitness|trackExplicitness|discCount|discNumber|trackCount|trackNumber|trackTimeMillis|country|currency|primaryGenreName|isStreamable|collectionArtistName|collectionArtistId
0|track|song|7420827|1452504769|1452505072|Ludovico Einaudi|Divenire|Fly|Divenire|Fly|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/fly/1452504769?i=1452505072&uo=4|https://music.apple.com/us/album/fly/1452504769?i=1452505072&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/c9/5a/b7/c95ab7b9-f252-f9f6-445d-8cdd5f0f32bf/mzaf_413083744240038516.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/100x100bb.jpg|9.99|1.29|2006-11-07T12:00:00Z|notExplicit|notExplicit|1|1|12|9|278933|USA|USD|Classical|True||
1|track|song|7420827|1452504769|1452505054|Ludovico Einaudi|Divenire|Primavera|Divenire|Primavera|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/primavera/1452504769?i=1452505054&uo=4|https://music.apple.com/us/album/primavera/1452504769?i=1452505054&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e4/f4/94/e4f494d4-7a7e-feb1-45f6-f06b07f2105e/mzaf_800867821908235919.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/100x100bb.jpg|9.99|1.29|2006-11-07T12:00:00Z|notExplicit|notExplicit|1|1|12|6|442400|USA|USD|Classical|True||
2|track|song|7420827|1440762051|1440762319|Ludovico Einaudi|Una Mattina|Nuvole Bianche|Una Mattina|Nuvole Bianche|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/nuvole-bianche/1440762051?i=1440762319&uo=4|https://music.apple.com/us/album/nuvole-bianche/1440762051?i=1440762319&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/53/74/71/5374716f-6894-2f16-e576-36335c5acfe6/mzaf_16695769845581058551.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/100x100bb.jpg|11.99|1.29|2004-09-06T12:00:00Z|notExplicit|notExplicit|1|1|13|12|357707|USA|USD|Classical|True||
3|track|song|7420827|1452504769|1452504877|Ludovico Einaudi|Divenire|Divenire|Divenire|Divenire|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/divenire/1452504769?i=1452504877&uo=4|https://music.apple.com/us/album/divenire/1452504769?i=1452504877&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/d7/ed/f6/d7edf605-bf77-428a-6d5e-5bb37b69f73d/mzaf_11947352015285679750.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/100x100bb.jpg|9.99|1.29|2006-11-07T12:00:00Z|notExplicit|notExplicit|1|1|12|2|402240|USA|USD|Classical|True||
4|track|song|7420827|1440762051|1440762069|Ludovico Einaudi & Marco Decimo|Una Mattina|A Fuoco|Una Mattina|A Fuoco|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/a-fuoco/1440762051?i=1440762069&uo=4|https://music.apple.com/us/album/a-fuoco/1440762051?i=1440762069&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/60/9c/ff/609cff60-a94e-f2c0-0e82-3a862f776f7a/mzaf_5654346478952777964.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/100x100bb.jpg|11.99|1.29|2004-09-06T12:00:00Z|notExplicit|notExplicit|1|1|13|5|270200|USA|USD|Classical|True|Ludovico Einaudi|
5|track|song|7420827|1452504769|1452504885|Ludovico Einaudi|Divenire|Andare|Divenire|Andare|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/andare/1452504769?i=1452504885&uo=4|https://music.apple.com/us/album/andare/1452504769?i=1452504885&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/09/2f/37/092f3756-632a-2a4a-e0bf-70d4b3236214/mzaf_8450532366607464477.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/100x100bb.jpg|9.99|1.29|2006-11-07T12:00:00Z|notExplicit|notExplicit|1|1|12|4|417733|USA|USD|Classical|True||
6|track|song|7420827|1440762051|1440762064|Ludovico Einaudi & Marco Decimo|Una Mattina|Resta Con Me|Una Mattina|Resta Con Me|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/resta-con-me/1440762051?i=1440762064&uo=4|https://music.apple.com/us/album/resta-con-me/1440762051?i=1440762064&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/de/b7/e8/deb7e8af-f549-19e2-0008-3175583d5cec/mzaf_7496848869802499278.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/100x100bb.jpg|11.99|1.29|2004-09-06T12:00:00Z|notExplicit|notExplicit|1|1|13|3|295760|USA|USD|Classical|True|Ludovico Einaudi|
7|track|song|7420827|1452504769|1452504881|Ludovico Einaudi|Divenire|Monday|Divenire|Monday|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/monday/1452504769?i=1452504881&uo=4|https://music.apple.com/us/album/monday/1452504769?i=1452504881&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/70/46/ef/7046eff9-d14c-b118-e27a-36cfa8ff4809/mzaf_636471670750735479.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/100x100bb.jpg|9.99|1.29|2006-11-07T12:00:00Z|notExplicit|notExplicit|1|1|12|3|355000|USA|USD|Classical|True||
8|track|song|7420827|1452504769|1452504870|Ludovico Einaudi|Divenire|Uno|Divenire|Uno|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/uno/1452504769?i=1452504870&uo=4|https://music.apple.com/us/album/uno/1452504769?i=1452504870&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ae/63/1f/ae631f05-123d-9770-59d2-612116ae2925/mzaf_9185349838243346673.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/100x100bb.jpg|9.99|1.29|2006-11-07T12:00:00Z|notExplicit|notExplicit|1|1|12|1|227560|USA|USD|Classical|True||
9|track|song|7420827|1452504769|1452505137|Ludovico Einaudi|Divenire|Ascolta|Divenire|Ascolta|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/ascolta/1452504769?i=1452505137&uo=4|https://music.apple.com/us/album/ascolta/1452504769?i=1452505137&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/f8/6e/de/f86edea2-ebe6-a4ab-4ee8-2f2ff062bcf5/mzaf_12602769309011862927.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/100x100bb.jpg|9.99|1.29|2006-11-07T12:00:00Z|notExplicit|notExplicit|1|1|12|10|288733|USA|USD|Classical|True||
10|track|song|7420827|1452504769|1452505153|Ludovico Einaudi|Divenire|Svanire|Divenire|Svanire|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/svanire/1452504769?i=1452505153&uo=4|https://music.apple.com/us/album/svanire/1452504769?i=1452505153&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/f3/9e/ca/f39ecafd-e13d-ec04-b407-54bf8a811ec0/mzaf_10356333914896405019.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/100x100bb.jpg|9.99|1.29|2006-11-07T12:00:00Z|notExplicit|notExplicit|1|1|12|12|448560|USA|USD|Classical|True||
11|track|song|7420827|1452504769|1452504889|Ludovico Einaudi|Divenire|Rose|Divenire|Rose|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/rose/1452504769?i=1452504889&uo=4|https://music.apple.com/us/album/rose/1452504769?i=1452504889&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e9/c9/43/e9c94315-1825-4845-d64e-47f27ee620ed/mzaf_13578300280202644240.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/100x100bb.jpg|9.99|1.29|2006-11-07T12:00:00Z|notExplicit|notExplicit|1|1|12|5|256227|USA|USD|Classical|True||
12|track|song|7420827|1452504769|1452505065|Ludovico Einaudi|Divenire|Origine Nascosta|Divenire|Origine Nascosta|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/origine-nascosta/1452504769?i=1452505065&uo=4|https://music.apple.com/us/album/origine-nascosta/1452504769?i=1452505065&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/f6/90/37/f6903752-57f9-3639-2956-f56d381f316b/mzaf_17940479354463299622.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/100x100bb.jpg|9.99|1.29|2006-11-07T12:00:00Z|notExplicit|notExplicit|1|1|12|8|191907|USA|USD|Classical|True||
13|track|song|7420827|1440762051|1440762312|Ludovico Einaudi & Marco Decimo|Una Mattina|DNA|Una Mattina|DNA|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/dna/1440762051?i=1440762312&uo=4|https://music.apple.com/us/album/dna/1440762051?i=1440762312&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/93/80/d9/9380d910-acdf-9b52-4936-b0a050db6db4/mzaf_4658684056089928113.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/100x100bb.jpg|11.99|1.29|2004-09-06T12:00:00Z|notExplicit|notExplicit|1|1|13|9|220667|USA|USD|Classical|True|Ludovico Einaudi|
14|track|song|7420827|1452504769|1452505058|Ludovico Einaudi|Divenire|Oltremare|Divenire|Oltremare|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/oltremare/1452504769?i=1452505058&uo=4|https://music.apple.com/us/album/oltremare/1452504769?i=1452505058&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/1e/c9/c0/1ec9c01c-7637-262b-ca88-e8f431f4fc3e/mzaf_16296329162163915640.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/100x100bb.jpg|9.99|-1.0|2006-11-07T12:00:00Z|notExplicit|notExplicit|1|1|12|7|660000|USA|USD|Classical|True||
15|track|song|7420827|1452504769|1452505144|Ludovico Einaudi|Divenire|Ritornare|Divenire|Ritornare|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/ritornare/1452504769?i=1452505144&uo=4|https://music.apple.com/us/album/ritornare/1452504769?i=1452505144&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/00/d3/ec/00d3eccc-0bbb-716d-57fb-face131c08cb/mzaf_2767518875392019525.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/100x100bb.jpg|9.99|1.29|2006-11-07T12:00:00Z|notExplicit|notExplicit|1|1|12|11|532000|USA|USD|Classical|True||
